"""00";Description: Serial Shipping Container Code;"SSCC""";
"""01";Description: Global Trade Item Number;"GTIN""";
"""02";Description: Global Trade Item Number (GTIN) of contained trade items;"CONTENT""";
"""10";Description: Batch or lot number;"BATCH/LOT""";
"""11";Description: Production date;"PROD DATE""";
"""12";Description: Due date;"DUE DATE""";
"""13";Description: Packing date;"PACK DATE""";
"""15";Description: Best before date;"BEST BEFORE or BEST BY""";
"""16";Description: Sell by date;"SELL BY""";
"""17";Description: Expiration date;"USE BY OR EXPIRY""";
"""20";Description: Internal product variant;"VARIANT""";
"""21";Description: Serial number;"SERIAL""";
"""22";Description: Consumer product variant;"CPV""";
"""30";Description: Variable count of items (variable measure trade item);"VAR. COUNT""";
"""37";Description: Count of trade items or trade item pieces contained in a logistic unit;"COUNT""";
"""90";Description: Information mutually agreed between trading partners;"INTERNAL""";
"""91";Description: Company internal information;"INTERNAL""";
"""92";Description: Company internal information;"INTERNAL""";
"""93";Description: Company internal information;"INTERNAL""";
"""94";Description: Company internal information;"INTERNAL""";
"""95";Description: Company internal information;"INTERNAL""";
"""96";Description: Company internal information;"INTERNAL""";
"""97";Description: Company internal information;"INTERNAL""";
"""98";Description: Company internal information;"INTERNAL""";
"""99";Description: Company internal information;"INTERNAL""";
"""235";Description: Third Party Controlled, Serialised Extension of Global Trade Item Number (GTIN);"TPX""";
"""240";Description: Additional product identification assigned by the manufacturer;"ADDITIONAL ID""";
"""241";Description: Customer part number;"CUST. PART NO.""";
"""242";Description: Made-to-Order variation number MTO;"VARIANT""";
"""243";Description: Packaging component number;"PCN""";
"""250";Description: Secondary serial number;"SECONDARY SERIAL""";
"""251";Description: Reference to source entity;"REF. TO SOURCE""";
"""253";Description: Global Document Type Identifier (GDTI);"GDTI""";
"""254";Description: Global Location Number (GLN) extension component GLN;"EXTENSION COMPONENT""";
"""255";Description: Global Coupon Number (GCN);"GCN""";
"""400";Description: Customers purchase order number;"ORDER NUMBER""";
"""401";Description: Global Identification Number for Consignment (GINC);"GINC""";
"""402";Description: Global Shipment Identification Number (GSIN);"GSIN""";
"""403";Description: Routing code;"ROUTE""";
"""410";Description: Ship to / Deliver to Global Location Number (GLN);"SHIP TO LOC""";
"""411";Description: Bill to / Invoice to Global Location Number (GLN);"BILL TO""";
"""412";Description: Purchased from Global Location Number (GLN);"PURCHASE FROM""";
"""413";Description: Ship for / Deliver for - Forward to Global Location Number (GLN);"SHIP FOR LOC""";
"""414";Description: Identification of a physical location - Global Location Number (GLN);"LOC No""";
"""415";Description: Global Location Number (GLN) of the invoicing party;"PAY TO""";
"""416";Description: Global Location Number (GLN) of the production or service location;"PROD/SERV LOC""";
"""417";Description: Party Global Location Number (GLN);"PARTY""";
"""420";Description: Ship to / Deliver to postal code within a single postal authority;"SHIP TO POST""";
"""421";Description: Ship to / Deliver to postal code with ISO country code;ISO;"SHIP TO POST"""
"""422";Description: Country of origin of a trade item;"ORIGIN""";
"""423";Description: Country of initial processing COUNTRY;"INITIAL PROCESS.""";
"""424";Description: Country of processing COUNTRY;"PROCESS.""";
"""425";Description: Country of disassembly COUNTRY;"DISASSEMBLY""";
"""426";Description: Country covering full process chain;"COUNTRY - FULL PROCESS""";
"""427";Description: Country subdivision Of origin;"ORIGIN SUBDIVISION""";
"""710";Description: National Healthcare Reimbursement Number (NHRN) Germany;"PZN NHRN PZN""";
"""711";Description: National Healthcare Reimbursement Number (NHRN) France;"CIP NHRN CIP""";
"""712";Description: National Healthcare Reimbursement Number (NHRN) Spain;"CN NHRN CN""";
"""713";Description: National Healthcare Reimbursement Number (NHRN) Brasil;"DRN NHRN DRN""";
"""714";Description: National Healthcare Reimbursement Number (NHRN) Portugal;"AIM NHRN AIM""";
"""715";Description: National Healthcare Reimbursement Number (NHRN) United States of America;"NDC NHRN NDC""";
"""3100";Description: Net weight, kilograms (variable measure trade item);"NET WEIGHT (kg)""";
"""3110";Description: Length or first dimension, metres (variable measure trade item);"LENGTH (m)""";
"""3120";Description: Width, diameter, or second dimension, metres (variable measure trade item);"WIDTH (m)""";
"""3130";Description: Depth, thickness, height, or third dimension, metres (variable measure trade item);"HEIGHT (m)""";
"""3140";Description: Area, square metres (variable measure trade item);"AREA (m<sup>2</sup>)""";
"""3150";Description: Net volume, litres (variable measure trade item);"NET VOLUME (l)""";
"""3160";Description: Net volume, cubic metres (variable measure trade item);"NET VOLUME (m<sup>3</sup>)""";
"""3200";Description: Net weight, pounds (variable measure trade item);"NET WEIGHT (lb)""";
"""3210";Description: Length or first dimension, inches (variable measure trade item);"LENGTH (in)""";
"""3220";Description: Length or first dimension, feet (variable measure trade item);"LENGTH (ft)""";
"""3230";Description: Length or first dimension, yards (variable measure trade item);"LENGTH (yd)""";
"""3240";Description: Width, diameter, or second dimension, inches (variable measure trade item);"WIDTH (in)""";
"""3250";Description: Width, diameter, or second dimension, feet (variable measure trade item);"WIDTH (ft)""";
"""3260";Description: Width, diameter, or second dimension, yards (variable measure trade item);"WIDTH (yd)""";
"""3270";Description: Depth, thickness, height, or third dimension, inches (variable measure trade item);"HEIGHT (in)""";
"""3280";Description: Depth, thickness, height, or third dimension, feet (variable measure trade item);"HEIGHT (ft)""";
"""3290";Description: Depth, thickness, height, or third dimension, yards (variable measure trade item);"HEIGHT (yd)""";
"""3300";Description: Logistic weight, kilograms;"GROSS WEIGHT (kg)""";
"""3310";Description: Length or first dimension, metres;"LENGTH (m), log""";
"""3320";Description: Width, diameter, or second dimension, metres;"WIDTH (m), log""";
"""3330";Description: Depth, thickness, height, or third dimension, metres;"HEIGHT (m), log""";
"""3340";Description: Area, square metres;"AREA (m<sup>2</sup>), log""";
"""3350";Description: Logistic volume, litres;"VOLUME (l), log""";
"""3360";Description: Logistic volume, cubic metres;"VOLUME (m<sup>3</sup>), log""";
"""3370";Description: Kilograms per square metre;"KG PER m<sup>2</sup>""";
"""3400";Description: Logistic weight, pounds;"GROSS WEIGHT (lb)""";
"""3410";Description: Length or first dimension, inches;"LENGTH (in), log""";
"""3420";Description: Length or first dimension, feet;"LENGTH (ft), log""";
"""3430";Description: Length or first dimension, yards;"LENGTH (yd), log""";
"""3440";Description: Width, diameter, or second dimension, inches;"WIDTH (in), log""";
"""3450";Description: Width, diameter, or second dimension, feet;"WIDTH (ft), log""";
"""3460";Description: Width, diameter, or second dimension, feet;"WIDTH (yd), log""";
"""3470";Description: Depth, thickness, height, or third dimension, inches;"HEIGHT (in), log""";
"""3480";Description: Depth, thickness, height, or third dimension, feet;"HEIGHT (ft), log""";
"""3490";Description: Depth, thickness, height, or third dimension, yards;"HEIGHT (yd), log""";
"""3500";Description: Area, square inches (variable measure trade item);"AREA (in<sup>2</sup>)""";
"""3510";Description: Area, square feet (variable measure trade item);"AREA (ft<sup>2</sup>)""";
"""3520";Description: Area, square yards (variable measure trade item);"AREA (yd<sup>2</sup>)""";
"""3530";Description: Area, square inches;"AREA (in<sup>2</sup>), log""";
"""3540";Description: Area, square feet;"AREA (ft<sup>2</sup>), log""";
